product_name,category,description,brand,is_boycotted
Cocoa Lovers Vanilla Cocoa Cream Sandwich Biscuits,chocolate biscuits,"cocoa cream sandwich biscuits, vanilla flavor, creamy cocoa filling, wheat flour, milk, soya, sugar, palm oil, cocoa powder, glucose syrup, soy lecithin",Bisco Misr,1
OG Chocolate Coated Biscuit Filled with Chocolate Cream,chocolate biscuits,"chocolate coated biscuit, chocolate cream, crunchy, wheat flour, sugar, palm oil, cocoa powder, skimmed milk powder, soy lecithin, honey, vanillin, sweet, chocolatey",OG,0
Corona Bimbo Coco Biscuit Coated With Chocolate,chocolate biscuits,"chocolate cream, crispy, wheat flour, sugar, palm oil, cocoa powder, soy lecithin, sodium bicarbonate, sweet, chocolatey",corona,0
Cocoa Lovers Cocoa Cream Sandwich Biscuits,chocolate biscuits,"crispy, wheat flour, sugar, palm oil, cocoa powder, rapeseed lecithin, whey powder, maize starch, sodium bicarbonate, chocolate flavor, vanilla flavor, sweet, chocolatey",Bisco Misr,1
NESCAFE Classic Instant Coffee,coffee,instant coffee mg caffeine per serve g g jar,Nestle,1
NESCAFE 3-in-1 Coffee Mix,coffee,premixed coffee sachets sugar creamer mg caffeine per serve stick pack,Nestle,1
Misr Cafe Instant Coffee,coffee,pure instant coffee medium roast,"Bold, traditional",0
Danone Classic Plain Yogurt,dairy,plain probiotic yogurt live active culture l bulgaricus thermophilus vitamin fortify g g cup,Danone Group,1
Domty Full Cream Milk,dairy,rich creamy milk,Domty,1
Domty Half Cream Milk,dairy,milk reduce fat content,Domty,1
Domty Skimmed Milk,dairy,milk minimal fat content,Domty,1
Dina Full Cream Milk,dairy,pasteurize whole milk creamy texture,Dina Farms,0
Greek Style Yogurt,dairy,thick creamy yogurt make fresh cow milk rich protein calcium,Almarai,0
Lamar 0 percent Fat Milk,dairy,fat milk add powder preservatives available l tetra pack,Lamar,0
Lamar Full Cream Milk,dairy,pure cow milk add powder preservatives available ml ml l tetra pack,Lamar,0
Axe Apollo Anti-Perspirant Roll-On,deodorant,hour anti perspirant roll aluminum chlorohydrate citrus woody scent non sticky formula ml blue bottle men,Unilever,1
Rexona Women Cotton Dry Roll-On,deodorant,hour antiperspirant roll women aluminum zirconium tetrachlorohydrex gly light floral fragrance non stain ml pink bottle,Unilever,1
Eva Skin Care Natural Glow Lightening Roll-On,deodorant,hour protection alcohol free paraben free enrich cucumber wild berry aloe vera brighten antiperspirant women,"Aluminum-free, alcohol-free, paraben-free",0
Vebix Blue Active Men Deodorant Roll-On,deodorant,hour sweat odor protection dermatologically test citrus woody fragrance antiperspirant ml blue bottle men,Aluminum chlorohydrate,0
Pril Lemon Dishwashing Liquid,dishwashing,lemon dishwashing liquid biodegradable formula aloe vera extract ml l bottle,Henkel,1
Dettol Antibacterial Dishwashing Liquid,dishwashing,antibacterial dish soap germ kill lemon fragrance green bottle,Reckitt Benckiser,1
Feba Dishwashing Liquid,dishwashing,dish wash lemon scent fresh aroma,Feba,0
Sting Energy Drink,energy Drink,tropical energy drink caffeine taurine b vitamins ml ml can,PepsiCo,1
Volt Blue Energy,energy Drink,blueberry flavor variant mg caffeine mg taurine guarana extract offer mild sweetness reminiscent blueberry soda,AJE Group,0
Dolce Chocolate,ice cream,chocolate ice cream cocoa flake ml tubs con,D F Food Products,1
Twix Classic,ice cream,caramel cookie ice cream bar twix inspire single bar,Mars,1
Friday Ice Cream Chocolate,ice cream,chocolate classic ice cream bar,"Chocolate, Vanilla, Others",0
Cold Stone Chocolate,ice cream,"Chocolate ice cream with a caramel twist, dipped in chocolate with almond slices",Cold Stone Creamery,0
Cold Stone Caramelized Biscuit,ice cream,Caramelized biscuit ice cream with biscuit pieces dipped in chocolate with more biscuit pieces,Cold Stone Creamery,0
Cold Stone Cookies and Cream,ice cream,Sweet cream ice cream with cookies pieces dipped in chocolate with more cookies pieces,Cold Stone Creamery,0
Cold Stone Vanilla,ice cream,Vanilla ice cream with a caramel swirl dipped in chocolate with almond slices,Cold Stone Creamery,0
Cold Stone Cookies and Cream Sandwich,ice cream,Double chocolate sensation of chocolate ice cream with chocolate sauce,Cold Stone Creamery,0
Friday Watermelon,ice cream,Watermelon ice cream,Friday,0
Friday Freitag,ice cream,Chocolate hazelnut icecream,Friday,0
Combo Extra,ice cream,Pistachio chocolate kunafa ice cream,Friday,0
Red Velvet Wich,ice cream,Red velvet ice cream sandwich,Friday,0
Combo,ice cream,Caramel Chocolate Ice Cream,Friday,0
Oreo Stick,ice cream,Oreo ice cream stick,Oreo,1
Oreo Sandwich,ice cream,Oreo ice cream sandwich,Oreo,1
Wonderville Purple Cookies,ice cream,Purple Cookies ice cream,Wonderville,0
Wonderville Yoghurt Raspberry Ice Cream,ice cream,Yoghurt raspberry ice cream,Wonderville,0
Wonderville Cotton Candy,ice cream,Cotton Candy ice cream,Wonderville,0
Wonderville Bubble Gum,ice cream,Bubble gum ice cream,Wonderville,0
Wonderville Chocolate,ice cream,Chocolate ice cream,Wonderville,0
Rani Pineapple Juice,juice,can pineapple juice low sugar apple puree blend l can,Rani,1
Tang Orange Powder,juice,citrus powder drink vitamin c fortify artificial color yellow g sugar per serve,Tang,1
Tang Mango Powder,juice,mango flavor drink mix add calcium vitamin c g resealable pack,Tang,1
Tropicana Pure Premium Orange,juice,concentrate orange juice vitamin calcium add sugar l chill cartons,Tropicana,1
Tropicana Apple Juice,juice,clear apple juice reconstitute concentrate natural apple flavor l tetra pack,Tropicana,1
Almarai Mango Juice,juice,mango juice available various pack size,Almarai,0
Almarai Orange Juice,juice,orange juice available various pack size,Almarai,0
Lamar Mango Juice,juice,mango juice add sugar preservatives available ml tetra pack,Lamar,0
Lamar Orange Juice,juice,orange juice add sugar preservatives available ml tetra pack,Lamar,0
Heinz Tomato Ketchup,ketchup,classic tomato ketchup sweet tangy flavor iconic glass bottle,Heinz Company,1
Durra Tomato Ketchup Sweet,Ketchup,sweet flavor tomato ketchup ideal sandwich burgers fry available g g size,Durra,0
Kellogges Vegetables Flavour Instant Noodles,pasta,mix vegetable noodles mild season dehydrate carrots onions,Kellogg's,1
Kellogges Chicken Flavour Instant Noodles,pasta,chicken flavor noodles light broth turmeric season,Kellogg's,1
Indomie Chicken Flavour,pasta,classic chicken flavor instant noodles broth,Indomie,0
Indomie Vegetable Flavour,pasta,vegetable flavor instant noodles light broth,Indomie,0
Clear Scalp Care Anti-Dandruff Shampoo,shampoo,anti dandruff shampoo zinc pyrithione coconut oil ml ml bottle,Unilever,1
Head & Shoulders Classic Clean Shampoo,shampoo,classic anti dandruff shampoo clean scent,Procter & Gamble,1
Eva Aloe Vera & Argan Oil Strengthening Shampoo,shampoo,contain aloe vera argan oil strengthen hydrate hair,Eva,0
Selengena Anti Dandruff Shampoo,shampoo,anti dandruff shampoo contain selenium sulfide piroctone olamine jojoba oil fight dandruff moisturize hair,Selengena,0
Mirinda Orange,soft drink,orange soda carbonate high level fructose,PepsiCo,1
Sprite Lemon-Lime,soft drink,lemon lime soda caffeine free sodium citrate,Coca-Cola,1
Fanta Orange,soft drink,orange soda good taste,Coca-Cola,1
Coca-Cola Classic,soft drink,cola taste color like caramel,Coca-Cola,1
Pepsi,soft drink,cola flavor caramel color caffeine free,PepsiCo,1
Fayrouz Apple,soft drink,apple malt beverage non alcoholic natural essence,PepsiCo,1
Spiro Spathis Apple Soda,soft drink,carbonated beverage with apple flavor,Spiro Spathis,0
Spiro Spathis Lemon Mint Soda,soft drink,carbonated beverage with lemon mint flavor,Spiro Spathis,0
Spiro Spathis Lemon Soda,soft drink,carbonated beverage with lemon flavor,Spiro Spathis,0
MaxiCola,soft drink,cola flavor caramel color caffeine free,Maxicola,0
BIG Cola,soft drink,cola taste color like caramel,BIG Cola,0
BIG Orange,soft drink,orange soda carbonate high fructose corn syrup,BIG Cola,0
V7 Cola,soft drink,carbonated beverage with cola flavor,V7 Benefits,0
V7  Lemon mint,soft drink,carbonated beverage with lemon mint flavor,V7 Benefits,0
V7 pineapple,soft drink,carbonated beverage with pineapple flavor,V7 Benefits,0
Lipton Yellow Label Black Tea,tea,black tea bag assam ceylon blend mg caffeine per cup bag box,Unilever,1
English Breakfast Ahmed tea,tea,tea bag full body blend combine assam ceylon kenyan teas mg caffeine per cup,Ahmad Tea,0
Kabous,tea,tea bag elegant blend subtle hint bergamot craft refine palates bag box,Kabous,0
Al Arosa,tea,black tea,Al Arosa,0
Close-Up Green Menthol Toothpaste,toothpaste,"menthol, zinc, mint, cooling, gel",Close Up,1
Signal Cavity Fighter Toothpaste,toothpaste,"fluoride, calcium carbonate, mint, cooling, gel",signal,1
Sensodyne Toothpaste Multi Care and Whitening,toothpaste,"sodium fluoride, potassium nitrate, pentasodium triphosphate, mint, whitening, soothing",Sensodyne,1
Closeup Red Hot Toothpaste ,toothpaste,"cinnamon, mint, zinc, fluoride, tea tree, eucalyptus, spicy, cooling, gel",Close Up,1
Signal Cavity Fighter Toothpaste With Fresh Mint,toothpaste,"mint, fluoride, calcium, clean, refreshing",signal,1
Closeup Clean Fresh Toothpaste Berry Blast,toothpaste,"berry, mint, fluoride, fruity, refreshing",Close Up,1
Signal Complete 8 Antibacterial Charcoal Toothpaste,toothpaste,"charcoal, zinc, mint, clean, whitening, antibacterial",signal,1
Signal Toothpaste Sensitive Clove,toothpaste,"clove, juniper berry, zinc, soothing, antibacterial, fluoride, mint",signal,1
Signal Complete 8 Toothpaste Herbal Gum Care,toothpaste,"sage, thyme, zinc, herbal, mint, fluoride, clean, antibacterial",signal,1
Sensodyne Toothpaste Rapid Action,toothpaste,"stannous fluoride, sodium fluoride, mint, clean, refreshing, whitening",Sensodyne,1
Closeup Cool Fresh Toothpaste with Citrus Mint,toothpaste,"mandarin, mint, basil, spearmint, citrus, refreshing, zinc, fluoride",Close Up,1
Dabur Miswak Toothpaste,toothpaste,"miswak, licorice, astringent, antibacterial, calcium carbonate, silica, mint, herbal, clean, refreshing",dabur,0
Signal White Now Extra Fresh Toothpaste,toothpaste,"mint, blue-sapphire, fluoride, whitening, clean, refreshing",signal,1
Emoform Toothpaste,toothpaste,"potassium nitrate, fluoride, mineral salts, mint, clean, desensitizing, remineralizing",emoform,0
Deprudent Whitening Toothpaste,toothpaste,"pumice, calcium carbonate, silica, limonene, whitening, polishing, clean",deprudent,0
El Shamadan Mega Red Wafer Filled with Chocolate,wafers,"chocolate, wafer, biscuits, snack, on-the-go, traveller, flavour, delicious, mouth-watering, taste, sugary, delightful, treat, sweet tooth, savior, cravings, ideal, anytime, fine, quality, authentic, wheat flour, sugar, hydrogenated vegetable oils, cocoa powder, soya lecithin, potassium sorbate, sodium benzoate, leavening agents, food flavours, salt, vanillin",Shamadan,0
Bisco Misr Wafer with Vanilla,wafers,"biscuits, vanilla, hunger, cravings, crunchy, tea, milk, full, long-lasting",Bisco Misr,1
Ulker Alpella Milk Chocolate Wafer with Milk Flavor,wafers,"milk chocolate, wafer, creamy, rich, milky, crispy, satisfying",Alpella,0
Shamadan Mega Wafer Covered with White Chocolate,wafers,"white chocolate, wafer, creamy, sweet, crunchy, satisfying",Shamadan,0
Munchee Vanilla Cream Wafers,wafers,"vanilla, cream, wafer, rich, smooth, crunchy, soft, filling, fresh",corona,0
Freska Coated Wafer White Bar with Chocolate,wafers,"white chocolate, wafer, creamy, sweet, crunchy, sugar, wheat flour, palm oil, whey powder, skimmed milk powder, cocoa powder, modified starch, corn starch, soya flour, soy lecithin, vanillin",Edita,1
Bounty Wafer Rolls,wafers,"milk chocolate, coconut, wafer, crunchy, moist, rich, creamy",Bounty,1
Shamadan Mega Wafer Filled and Covered with Chocolate,wafers,"chocolate, wafer, creamy, rich, crunchy, wheat flour, sugar, palm oil, cocoa powder, soya lecithin, food starch, vanillin",Shamadan,0
El Shamadan Mini Kata Kito Chocolate Wafer,wafers,"chocolate, wafer, creamy, rich, crunchy, wheat flour, sugar, cocoa paste, cocoa butter, cocoa powder, skimmed milk powder, palm oil, soya lecithin, vanillin",Shamadan,0
Munchee Strawberry Cream Wafers,wafers,"strawberry, creamy, crunchy, rich, sweet",corona,0
Kinder Happy Hippo Cacao Wafer,wafers,"cacao, creamy, chocolate, hazelnut, sweet, crispy, waffle-textured",Kinder,1
Munchi Wafer Biscuit with Coconut,wafers,"coconut, creamy, crunchy, dried coconut flakes, powdered coconut milk, tropical",corona,0
Rave Wafer Chocolate,wafers,"chocolate, creamy, rich, crunchy, wheat flour, sugar, vegetable oils, skimmed milk powder, cocoa mass, vanillin",Shamadan,0
Blox Wafer with Chocolate Cream Filling,wafers,"chocolate, creamy, crunchy, hazelnut, sweet, cocoa powder, wheat flour, palm oil, vanillin",Ülker,1
Rave Cocoa Wafer Chcocolate,wafers,"cocoa, chocolate, creamy, rich, crunchy, wheat flour, sugar, palm oil, skimmed milk, cocoa paste, cocoa powder, vanilla",Shamadan,0
Freska Coated Wafer Bar with Halawa,wafers,"halawa, sesame, creamy, crunchy, sweet, wheat flour, palm oil, whey powder, skimmed milk powder, vanillin",Edita,1
Rave Wafer Hazelnut,wafers,"hazelnut, cocoa, creamy, rich, crunchy, wheat flour, sugar, palm oil, skimmed milk, cocoa paste, cocoa butter, vanilla",Shamadan,0
Loacker Wafer Napolitaner,wafers,"chocolate, cocoa, creamy, crispy, hazelnut, sweet, wheat flour, coconut oil, glucose syrup, whey powder, skimmed milk powder, bourbon vanilla, spices",Loacker,1
Cocoa Lovers Wafer With Hazelnut Cream,wafers,"cocoa, hazelnut, creamy, velvety, crispy, sweet, wheat, milk, soya",Bisco Misr,1
Munchee's Muzic Wafer Cubes with Hazelnut,wafers,"hazelnut, creamy, crunchy, sweet",corona,0
Snickers Wafer Roll,wafers,"chocolate, peanuts, caramel, nougat, creamy, crunchy",SNICKERS,1
Loacker Quadartini Chocolate Wafers,wafers,"chocolate, creamy, smooth, crispy, cocoa, wheat flour, coconut oil, sugar, whey powder, skimmed milk powder, vanilla",Loacker,1
Loacker Quadratini Tiramisu Wafer,wafers,"tiramisu, creamy, crunchy, mascarpone, coffee, cocoa, hazelnut, sweet, wheat flour, coconut oil, whey powder, skimmed milk powder, glucose syrup, bourbon vanilla, spices",Loacker,1
Munchi Wafer Biscuit Vegan,wafers,"wheat flour, sugar, vegetable oils, corn starch, cocoa powder, vegetable emulsifiers, salt, sodium bicarbonate, vanilla, chocolate, creamy, crunchy",corona,0
Corona Munchi Waffer Biscuit with Caramel,wafers,"wheat flour, sugar, edible vegetable oil, salt, emulsifier (e322), cocoa powder, corn flour, caramel, creamy, crunchy",corona,0
Loacker Cremkakao Mini Wafer With Cocoa Cream,wafers,"wheat flour, coconut oil, glucose syrup, soy flour, skimmed milk powder, soy lecithin, bourbon vanilla pods, spices, cocoa, creamy, crispy",Loacker,1
Freska Finger Wafer Filled with Cocoa and Hazelnut,wafers,"sugar, wheat flour, palm oil, cocoa powder, milk whey powder, hazelnut paste, corn starch, soya flour, soy lecithin, table salt, sodium bicarbonate, vanillin, cocoa, hazelnut, creamy, crunchy",Freska,1
Loacker Tortina White Chocolate Wafer,wafers,"wheat flour, white chocolate, sugar, coconut oil, skimmed milk powder, soy lecithin, cappuccino, vanilla, creamy, crispy",Loacker,1
Katakito Chocolate Wafer and milk,wafers,"wheat flour, sugar, cocoa paste, cocoa butter, skimmed milk powder, palm oil, soya protein, glucose syrup, ammonium bicarbonate, sodium bicarbonate, soya lecithin, vanillin, chocolate, milky, creamy, crispy",Shamadan,0
Time Wafer Master Rolls with Chocolate Cream,wafers,"wheat flour, sugar, palm oil, cocoa powder, skimmed milk powder, soy lecithin, vanilla, chocolate, creamy, crispy",Cizmeci time,0
Elite Strawberry Wafer,wafers,"wheat flour, sugar, palm kernel oil, skimmed milk, whey, soy lecithin, ammonium bicarbonate, sodium bicarbonate, vanillin, strawberry, milky, creamy, crispy",Elite,0
Cizmeci Time Master Wafer with Hazelnut Cream,wafers,"sugar, wheat flour, palm oil, corn starch, whey powder, glucose, skimmed milk powder, hazelnut paste, cocoa powder, soy lecithin, caramel, salt, coconut, nutty, creamy, crispy",Cizmeci time,0
Time Wafer Master Chocolate Wafer Cubes,wafers,"sugar, wheat flour, palm oil, cocoa powder, skimmed milk powder, whey powder, corn starch, milk chocolate, soy lecithin, salt, sodium bicarbonate, ammonium bicarbonate, sodium acid pyrophosphate, yeast extract, ethyl vanillin, chocolate, milky, creamy, crispy",Cizmeci time,0
Katakito Extra Hazelnut Cream,wafers,"hazelnut paste, wheat flour, sugar, cocoa paste, cocoa butter, skimmed milk powder, palm oil, soya protein, glucose syrup, ammonium bicarbonate, sodium bicarbonate, soya lecithin, vanillin, hazelnut, chocolate, creamy, crispy",Shamadan,0
Ahlawy Wafer with Vanilla,wafers,"wheat flour, sugar, palm oil, skimmed milk powder, whey powder, corn starch, soy lecithin, sodium bicarbonate, vanilla, creamy, crispy",Ahlawy,0
Freska Sticks Rolled Wafer Filled with Cocoa and Hazelnut Cream,wafers,"sugar, wheat flour, palm oil, whole milk powder, palm kernel oil, cocoa powder, skimmed milk powder, hazelnut paste, lactose, sorbitol syrup, corn starch, fructose, soya lecithin, dietary fiber, salt, caramel, hazelnut, vanillin, cocoa, creamy, crispy",Edita,1
Freska Wafer Coated with Chocolate,wafers,"milk chocolate-coated wafer, crispy texture, sugar, wheat flour, palm oil, cocoa powder, skimmed milk powder, whey powder, corn starch, soy lecithin, salt, sodium bicarbonate, ammonium bicarbonate, sodium acid pyrophosphate, yeast extract, ethyl vanillin, chocolate flavor, milky, creamy",Edita,1
Time Crepe Wafer with Hazelnut Cream,wafers,"hazelnut , crispy texture, sugar, wheat flour, palm oil, hazelnuts, cocoa powder, skimmed milk powder, whey powder, corn starch, soy lecithin, salt, sodium bicarbonate, ammonium bicarbonate, ethyl vanillin, hazelnut flavor, creamy, sweet",Cizmeci time,0
Trix Wafer Filled with Strawberry Cheesecake Flavored Cream,wafers,"strawberry , soft texture, wheat flour, sugar, vegetable oil, skimmed milk powder, corn starch, salt, sodium bicarbonate, strawberry flavor, cheesecake flavor, creamy, sweet",Carrefour,1
Hd Cocoa Wafer Filled with Vanilla,wafers,"vanilla cream-filled cocoa wafer, crispy texture, wheat flour, sugar, palm oil, food starch, maltodextrin, polydextrose, cocoa powder, soy lecithin, sodium bicarbonate, ammonium bicarbonate, caramel color, salt, vanillin, vanilla flavor, creamy, sweet",Shamadan,0
Hd Cocoa Wafer Filled with Chocolate,wafers,"chocolate cream-filled cocoa wafer, crispy texture, wheat flour, sugar, palm oil, food starch, cocoa paste, cocoa powder, polydextrose, maltodextrin, soy lecithin, sodium bicarbonate, ammonium bicarbonate, caramel color, salt, vanillin, chocolate flavor, creamy, sweet",Shamadan,0
Lambada Wafer Biscuits Filled Chocolate Cream,wafers,"chocolate, creamy, crunchy, wheat flour, sugar, palm oil, skimmed milk powder, cocoa powder, cocoa butter substitute, vanillin",Ocean Foods,0
Lambada Wafer Biscuits Filled Strawberry Cream,wafers,"strawberry, creamy, crunchy, wheat flour, sugar, vegetable oils, soya flour, skimmed milk powder, yogurt, vanillin",Ocean Foods,0
Lambada Biscuits Filled Natural Chocolate,wafers,"chocolate, creamy, crunchy, wheat flour, sugar, palm oil, skimmed milk powder, cocoa powder, cocoa butter substitute, vanillin",Ocean Foods,0
Lambada Wafer Biscuits Filled Coconut Cream,wafers,"coconut, creamy, crunchy, wheat flour, sugar, palm oil, skimmed milk powder, coconut powder, vanillin",Ocean Foods,0
Trix Wafer Filled with Vanilla Cream,wafers,"vanilla cream-filled wafer, soft texture, wheat flour, sugar, vegetable oil, skimmed milk powder, corn starch, salt, sodium bicarbonate, vanilla flavor, creamy, sweet",Carrefour,1
Baraka ,water,source natural spring water offer balance mineral composition deliver cool refresh taste,Nestle,1
Aquafina,water,undergo advance purification process water ensure exceptional clarity clean taste ideal daily consumption,PepsiCo,1
Dasani,water,infuse essential minerals like magnesium sulfate potassium bicarbonate water offer revitalize taste wellness benefit,Coca-Cola,1
Nestle Pure Life,water,source deep well water naturally filter rich minerals offer pure refresh taste,Nestle,1
Aqua Delta ,water,infuse essential minerals like magnesium sulfate potassium bicarbonate water offer revitalize taste health benefit,Hayat,0
Elano ,water,source deep well water naturally filter rich minerals offer clean refresh taste,Elano,0
Hayat ,water,source natural spring water offer balance mineral composition deliver crisp refresh taste,Hayat,0
Lavie ,water,undergo advance purification process water ensure exceptional clarity neutral taste ideal daily consumption,Lavie,0
Bekhero Full Cream Milk,milk,"cow's milk, milk powder, calcium, protein,creamy, rich",Juhayna,0
Almarai Full Fat Milk,milk,"cow's milk, calcium, protein, reamy, rich",Almarai ,0
Juhayna Full Cream Milk,milk,"cow's milk, calcium, protein, vitamin B, vitamin D",Juhayna,0
Juhayna Skimmed Milk,milk,"cow's milk, calcium, protein, vitamin B2, vitamin B12, vitamin D , nutrient-rich",Juhayna,0
Juhayna Mix Chocolate Milk,Flavored Milk,"cow's milk, sugar, milk powder, cocoa powder, chocolate flavor, calcium, protein, zinc creamy, rich, chocolatey",Juhayna,0
Juhayna Mix Strawberry Milk,Flavored Milk,"cow's milk, sugar, milk powder, strawberry flavor, calcium, protein, zinc,creamy, sweet, fruity",Juhayna ,0
Juhayna Mix Banana Milk,Flavored Milk,"cow's milk, sugar, milk powder, banana flavor, calcium, protein, creamy, sweet, fruity",Juhayna ,0
Juhayna Mix Vanilla Milk,Flavored Milk,"cow's milk, sugar, milk powder, vanilla flavor, calcium, protein creamy, sweet, vanilla",Juhayna ,0
Juhayna Mix Caramel Milk,Flavored Milk,"cow's milk, sugar, milk powder, caramel flavor, calcium, protein, creamy, sweet, caramel",Juhayna ,0
Almarai Treats Chocolate Milk,Flavored Milk,"cow's milk, sugar, cocoa powder, vanilla flavor, chocolate flavor,creamy, rich, chocolatey",Almarai ,0
Almarai Treats Banana Milk,Flavored Milk,"cow's milk, sugar, skimmed milk powder, banana flavor, creamy, sweet, fruity",Almarai ,0
Almarai Treats Strawberry Milk,Flavored Milk,"cow's milk, sugar, skimmed milk powder, strawberry flavor,creamy, sweet, fruity",Almarai,0
Danone Dango Chocolate Milk,Flavored Milk,"cow's milk, skimmed milk powder, sugar, cocoa powder,zinc, creamy, chocolatey",Danone ,1
Danone Dango Strawberry Milk,Flavored Milk,"cow's milk, skimmed milk powder, sugar, strawberry flavor, zinc, creamy, sweet, fruity",Danone ,1
Danone Dango Banana Milk,Flavored Milk,"cow's milk, skimmed milk powder, sugar, banana flavor, zinc, creamy, sweet, fruity",Danone ,1
